Area Nm,URL,F_This Month,Weekday,읍면리,Address,Base Date(YYYYMM),Base Month(MM),Base Mt,Base Year,Contentsid,Param Date,Cnt,힐링,감성,자연,체험,커플,가족,액티비티,사진명소,카페투어,맛집탐방,Cnt_norm,힐링_추천점수,감성_추천점수,자연_추천점수,체험_추천점수,커플_추천점수,가족_추천점수,액티비티_추천점수,사진명소_추천점수,카페투어_추천점수,맛집탐방_추천점수,최고추천성향,최고추천점수
문섬(서귀포해양도립공원),https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500200,참,THUR,칠십리로,제주특별자치도 서귀포시 칠십리로,2025. 1. 1.,1,1,2025,CONT_000000000500200,2025. 1. 1.,12,1,0,0,0,0,0,0,0,0,0,0.010638297872340425,0.7031914893617021,0.0031914893617021275,0.0031914893617021275,0.0031914893617021275,0.0031914893617021275,0.0031914893617021275,0.0031914893617021275,0.0031914893617021275,0.0031914893617021275,0.0031914893617021275,힐링,0.7031914893617021
넥슨컴퓨터박물관,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500099,참,THUR,노형동,제주특별자치도 제주시 노형동 86,2025. 1. 1.,1,1,2025,CONT_000000000500099,2025. 1. 1.,12,0,0,0,0,0,1,0,0,0,0,0.010638297872340425,0.0031914893617021275,0.0031914893617021275,0.0031914893617021275,0.0031914893617021275,0.0031914893617021275,0.7031914893617021,0.0031914893617021275,0.0031914893617021275,0.0031914893617021275,0.0031914893617021275,가족,0.7031914893617021
사계해안도로,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500275,참,THUR,안덕면,제주특별자치도 서귀포시 안덕면 사계리,2025. 1. 1.,1,1,2025,CONT_000000000500275,2025. 1. 1.,12,0,0,1,0,0,0,0,0,0,0,0.010638297872340425,0.0031914893617021275,0.0031914893617021275,0.7031914893617021,0.0031914893617021275,0.0031914893617021275,0.0031914893617021275,0.0031914893617021275,0.0031914893617021275,0.0031914893617021275,0.0031914893617021275,자연,0.7031914893617021
제주올레 7-1코스,https://www.visitjeju.net/kr/detail/view?contentsid=CNTS_000000000020300,참,THUR,서호동,제주특별자치도 서귀포시 서호동 553-1,2025. 1. 1.,1,1,2025,CNTS_000000000020300,2025. 1. 1.,12,0,0,0,0,0,0,0,0,0,0,0.010638297872340425,0.0031914893617021275,0.0031914893617021275,0.0031914893617021275,0.0031914893617021275,0.0031914893617021275,0.0031914893617021275,0.0031914893617021275,0.0031914893617021275,0.0031914893617021275,0.0031914893617021275,힐링,0.0031914893617021275
김녕해수욕장야영장,https://www.visitjeju.net/kr/detail/view?contentsid=CNTS_000000000019768,참,THUR,구좌읍,제주특별자치도 제주시 구좌읍 김녕리 497-4,2025. 1. 1.,1,1,2025,CNTS_000000000019768,2025. 1. 1.,12,0,0,0,0,0,0,0,0,0,0,0.010638297872340425,0.0031914893617021275,0.0031914893617021275,0.0031914893617021275,0.0031914893617021275,0.0031914893617021275,0.0031914893617021275,0.0031914893617021275,0.0031914893617021275,0.0031914893617021275,0.0031914893617021275,힐링,0.0031914893617021275
라온주 실내체험동물원,https://www.visitjeju.net/kr/detail/view?contentsid=CNTS_200000000009865,참,THUR,한림읍,제주특별자치도 제주시 한림읍 월림리 산 8,2025. 1. 1.,1,1,2025,CNTS_200000000009865,2025. 1. 1.,12,0,0,1,1,0,2,0,0,0,0,0.010638297872340425,0.0031914893617021275,0.0031914893617021275,0.7031914893617021,0.7031914893617021,0.0031914893617021275,1.4031914893617021,0.0031914893617021275,0.0031914893617021275,0.0031914893617021275,0.0031914893617021275,가족,1.4031914893617021
용두암해안도로카페거리,https://www.visitjeju.net/kr/detail/view?contentsid=CNTS_000000000019909,참,THUR,용담3동,제주특별자치도 제주시 용담3동,2025. 1. 1.,1,1,2025,CNTS_000000000019909,2025. 1. 1.,13,0,1,1,0,1,0,0,0,2,1,0.01152482269503546,0.003457446808510638,0.7034574468085106,0.7034574468085106,0.003457446808510638,0.7034574468085106,0.003457446808510638,0.003457446808510638,0.003457446808510638,1.4034574468085106,0.7034574468085106,카페투어,1.4034574468085106
노루생태관찰원,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500103,참,THUR,봉개동,제주특별자치도 제주시 봉개동 산 51-2,2025. 1. 1.,1,1,2025,CONT_000000000500103,2025. 1. 1.,13,0,0,1,0,0,0,0,0,0,0,0.01152482269503546,0.003457446808510638,0.003457446808510638,0.7034574468085106,0.003457446808510638,0.003457446808510638,0.003457446808510638,0.003457446808510638,0.003457446808510638,0.003457446808510638,0.003457446808510638,자연,0.7034574468085106
파파빌레,https://www.visitjeju.net/kr/detail/view?contentsid=CNTS_200000000010333,참,THUR,조천읍,제주특별자치도 제주시 조천읍 와흘리 165-8,2025. 1. 1.,1,1,2025,CNTS_200000000010333,2025. 1. 1.,13,0,0,0,0,0,0,0,0,0,0,0.01152482269503546,0.003457446808510638,0.003457446808510638,0.003457446808510638,0.003457446808510638,0.003457446808510638,0.003457446808510638,0.003457446808510638,0.003457446808510638,0.003457446808510638,0.003457446808510638,힐링,0.003457446808510638
퍼시픽 마리나 요트투어,,참,THUR,,,2025. 1. 1.,1,1,2025,,2025. 1. 1.,14,0,0,0,1,0,0,1,0,0,0,0.012411347517730497,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.7037234042553191,0.003723404255319149,0.003723404255319149,0.7037234042553191,0.003723404255319149,0.003723404255319149,0.003723404255319149,체험,0.7037234042553191
