번호,개방서비스명,소재지전체주소,사업장명,문화체육업종명,음식점카페구분,입력주소,X,Y,행정동코드,행정동명,법정동코드,법정동명
6459,,,소라케이크,제과점업,카페,제주특별자치도,126.7559518,33.55667559,,구좌읍,,구좌읍
6460,,,펭귄부인,제과점업,카페,제주특별자치도,126.5385267,33.4912798,,이도2동,,이도이동
6461,,,파리바게트제주영어도시점,제과점업,카페,제주특별자치도,126.2840089,33.29121785,,대정읍,,대정읍
6462,,,옥이네빵집,제과점업,카페,제주특별자치도,126.717502,33.27842413,,남원읍,,남원읍
6463,,,고을목,제과점업,카페,제주특별자치도,126.4090525,33.48646644,,애월읍,,애월읍
6464,,,달당,제과점업,카페,제주특별자치도,126.537968,33.51235202,,일도2동,,일도이동
6465,,,앤피디.우주선,제과점업,카페,제주특별자치도,126.2453711,33.36740892,,한림읍,,한림읍
6466,,,던킨제주,제과점업,카페,제주특별자치도,126.5292965,33.50006912,,이도2동,,이도이동
6467,,,제이사려니숲길,제과점업,카페,제주특별자치도,126.6571489,33.42567846,,조천읍,,조천읍
6468,,,뚜레쥬르제주애월점,제과점업,카페,제주특별자치도,126.320215,33.46463063,,애월읍,,애월읍
6469,,,베이커리지베,제과점업,카페,제주특별자치도,126.473134,33.48594734,,노형동,,노형동
6470,,,크루아상드뵈프랩,제과점업,카페,제주특별자치도,126.5190419,33.512019,,용담1동,,용담일동
6471,,,발롱과자점,제과점업,카페,제주특별자치도,126.4983252,33.49323334,,연동,,연동
6472,,,투루베이커리,제과점업,카페,제주특별자치도,126.542572,33.4964484,,이도2동,,이도이동
6473,,,현시점,제과점업,카페,제주특별자치도,126.5602866,33.25502795,,서홍동,,서홍동
6474,,,레드와칠리페퍼스,제과점업,카페,제주특별자치도,126.5217872,33.50564162,,삼도2동,,삼도이동
6475,,,달꽃설기,제과점업,카페,제주특별자치도,126.3700497,33.26299381,,안덕면,,안덕면
6476,,,나나쉬폰,제과점업,카페,제주특별자치도,126.5443349,33.47276664,,아라동,,아라일동
6477,,,돌카롱연구소,제과점업,카페,제주특별자치도,126.4476273,33.49477225,,이호동,,이호일동
6478,,,보룡제과,제과점업,카페,제주특별자치도,126.9152763,33.4479954,,성산읍,,성산읍
6479,,,단수이카스테라,제과점업,카페,제주특별자치도,126.6665427,33.5417702,,조천읍,,조천읍
6480,,,애월빵공장오등동지점,제과점업,카페,제주특별자치도,126.5288248,33.47387276,,아라동,,오등동
6481,,,우리제과,제과점업,카페,제주특별자치도,126.2522507,33.224069,,대정읍,,대정읍
6482,,,돌미롱케이크,제과점업,카페,제주특별자치도,126.5511671,33.4714222,,아라동,,아라일동
6483,,,빠네띠에제주밀로,제과점업,카페,제주특별자치도,126.5984232,33.50099666,,삼양동,,도련일동
6484,,,정옥빵집,제과점업,카페,제주특별자치도,126.5635484,33.24915109,,중앙동,,서귀동
6485,,,하루엔샐러드,제과점업,카페,제주특별자치도,126.9196196,33.44207351,,성산읍,,성산읍
6486,,,크로플각,제과점업,카페,제주특별자치도,126.5369942,33.49347057,,이도2동,,이도이동
6487,,,이익새,제과점업,카페,제주특별자치도,126.2655937,33.40736103,,한림읍,,한림읍
6488,,,그릭이요,제과점업,카페,제주특별자치도,126.5473376,33.50233757,,일도2동,,일도이동
6489,,,슈크레,제과점업,카페,제주특별자치도,126.5089969,33.50907658,,용담2동,,용담이동
6490,,,제주예당떡,제과점업,카페,제주특별자치도,126.5113557,33.49262424,,오라동,,오라이동
6491,,,자연에서온달콤한마카롱,제과점업,카페,제주특별자치도,126.5830654,33.52417289,,삼양동,,삼양이동
6492,,,로니주니,제과점업,카페,제주특별자치도,126.5290882,33.49011327,,이도2동,,도남동
6493,,,빵의정석,제과점업,카페,제주특별자치도,126.5857985,33.5209314,,삼양동,,삼양이동
6494,,,나리꼬모제주점,제과점업,카페,제주특별자치도,126.4274152,33.25918867,,중문동,,중문동
6495,,,뚜레쥬르삼화점,제과점업,카페,제주특별자치도,126.5757761,33.51443338,,화북동,,화북일동
6496,,,파리바게뜨제주삼다점,제과점업,카페,제주특별자치도,126.4962558,33.4909453,,연동,,연동
6497,,,봉주르마담,제과점업,카페,제주특별자치도,126.5033859,33.25276027,,대천동,,강정동
6498,,,누옥,제과점업,카페,제주특별자치도,126.528792,33.50825843,,일도2동,,일도이동
6499,,,인더파이,제과점업,카페,제주특별자치도,126.7946288,33.55543534,,구좌읍,,구좌읍
6500,,,파파무베이커리,제과점업,카페,제주특별자치도,126.5376343,33.50595593,,일도2동,,일도이동
6501,,,메종드쁘띠푸르,제과점업,카페,제주특별자치도,126.5021076,33.48791478,,오라동,,오라삼동
6502,,,파리바게뜨한라대점,제과점업,카페,제주특별자치도,126.4775328,33.47621044,,노형동,,노형동
6503,,,클랭블루,제과점업,카페,제주특별자치도,126.1773683,33.34485537,,한경면,,한경면
6504,,,하나로마트빵,제과점업,카페,제주특별자치도,126.852961,33.52458635,,구좌읍,,구좌읍
6505,,,소콩,제과점업,카페,제주특별자치도,126.5486446,33.47237541,,아라동,,아라일동
6506,,,별빛가루,제과점업,카페,제주특별자치도,126.4703155,33.47429139,,노형동,,노형동
6507,,,벨뤼에,제과점업,카페,제주특별자치도,126.5678514,33.52507077,,화북동,,화북일동
6508,,,마차,제과점업,카페,제주특별자치도,126.5032183,33.51278446,,용담2동,,용담이동
6509,,,더치베이커리,제과점업,카페,제주특별자치도,126.5276479,33.50019379,,이도2동,,이도이동
6510,,,불란서찐빵무지개점,제과점업,카페,제주특별자치도,126.934831,33.46285256,,성산읍,,성산읍
6511,,,요한이네빵집,제과점업,카페,제주특별자치도,126.5211272,33.51281025,,삼도2동,,삼도이동
6512,,,파리바게뜨제주한라대점,제과점업,카페,제주특별자치도,126.4774172,33.47666882,,노형동,,노형동
6513,,,동쪽빵앗간,제과점업,카페,제주특별자치도,126.5850097,33.51384499,,삼양동,,도련이동
6514,,,탐나제과,제과점업,카페,제주특별자치도,126.5398173,33.48875257,,이도2동,,이도이동
6515,,,크로와상제주빵집,제과점업,카페,제주특별자치도,126.5810497,33.5164323,,삼양동,,도련일동
6516,,,하나로베이커리,제과점업,카페,제주특별자치도,126.4122094,33.48504641,,애월읍,,애월읍
6517,,,던킨도너츠아라점,제과점업,카페,제주특별자치도,126.5430985,33.47786407,,아라동,,아라일동
6518,,,프랑세즈,제과점업,카페,제주특별자치도,126.4313374,33.48992405,,외도동,,외도일동
6519,,,제주필렛,제과점업,카페,제주특별자치도,126.7461909,33.55624353,,구좌읍,,구좌읍
6520,,,뚜레쥬르제주이도초교점,제과점업,카페,제주특별자치도,126.5334234,33.48954257,,이도2동,,이도이동
6521,,,앙뚜아네트,제과점업,카페,제주특별자치도,126.5088637,33.5162154,,용담2동,,용담삼동
6522,,,제이델링제주점,제과점업,카페,제주특별자치도,126.4750969,33.48260867,,노형동,,노형동
