번호,개방서비스명,소재지전체주소,사업장명,문화체육업종명,X,Y,행정동코드,행정동명,법정동코드,법정동명
310,국내여행업,제주특별자치도 제주시 연동 1374 진현빌딩 2층 ,제주다정여행사,국내여행업,126.4911376,33.4814889,5011065000,연동,5011013700,연동
311,국내여행업,제주특별자치도 제주시 삼도일동 516-6 ,뉴제주여행(주),국내여행업,126.5177103,33.5011663,5011055000,삼도1동,5011010500,삼도일동
312,국내여행업,제주특별자치도 제주시 애월읍 어음리 49 ,(주)제주힐링명상테마파크,국내여행업,126.3610895,33.3955334,5011025300,애월읍,5011025336,애월읍 어음리
313,국내여행업,제주특별자치도 제주시 연동 2303-5 ,제주여행,국내여행업,126.4852265,33.4934887,5011065000,연동,5011013700,연동
314,국내여행업,제주특별자치도 제주시 연동 2328-1 3층 ,㈜제이에스피투어앤엔터테인먼트,국내여행업,126.4870798,33.492727,5011065000,연동,5011013700,연동
315,국내여행업,제주특별자치도 제주시 화북이동 2342-1 ,(주)제주온나라여행사,국내여행업,126.5667039,33.5104881,5011060000,화북동,5011011200,화북이동
316,국내여행업,제주특별자치도 제주시 연동 300-1 ,돌하루팡,국내여행업,126.4963017,33.4933261,5011065000,연동,5011013700,연동
317,국내여행업,제주특별자치도 제주시 애월읍 하귀1리 255-3 씨앤스카이빌 ,(주)제주올레투어,국내여행업,126.4186388,33.4883383,5011025300,애월읍,5011025340,애월읍 하귀1리
318,국내여행업,제주특별자치도 제주시 노형동 939-4 영보아파트 201호,(주)제주사람들,국내여행업,126.4847312,33.4854768,5011066000,노형동,5011012200,노형동
319,국내여행업,제주특별자치도 제주시 노형동 906-1 ,주식회사 더제주,국내여행업,126.4840987,33.4884352,5011066000,노형동,5011012200,노형동
320,국내여행업,제주특별자치도 제주시 용담삼동 970-3 ,주식회사 아리랑,국내여행업,126.501935,33.5148606,5011058000,용담2동,5011011000,용담삼동
321,국내여행업,제주특별자치도 제주시 연동 280-38 ,(주)신제주여행사,국내여행업,126.4930155,33.4929526,5011065000,연동,5011013700,연동
322,국내여행업,제주특별자치도 제주시 용담일동 231-7 2층 ,(주)제주속으로,국내여행업,126.5146471,33.5097666,5011057000,용담1동,5011010800,용담일동
323,국내여행업,제주특별자치도 제주시 화북이동 3461-1 ,(주)제이제이힐링,국내여행업,126.5599896,33.509743,5011060000,화북동,5011011200,화북이동
324,국내여행업,제주특별자치도 제주시 애월읍 광령2리 2498-1 1층 ,금아투어여행사,국내여행업,126.4325491,33.451398,5011025300,애월읍,5011025321,애월읍 광령리
325,국내여행업,제주특별자치도 제주시 노형동 252-3 ,제주파크투어,국내여행업,126.4855753,33.4579894,5011066000,노형동,5011012200,노형동
326,국내여행업,제주특별자치도 제주시 연동 301-5 ,티오제주,국내여행업,126.4962314,33.4911705,5011065000,연동,5011013700,연동
327,국내여행업,제주특별자치도 제주시 오라이동 1473-1 제주매일 ,유한회사 제주퍼스트투어,국내여행업,126.5142154,33.4877902,5011064000,오라동,5011012000,오라이동
328,국내여행업,제주특별자치도 제주시 오라이동 664-16 2층 ,휘파람투어,국내여행업,126.510033,33.4681309,5011064000,오라동,5011012000,오라이동
329,국내여행업,제주특별자치도 제주시 애월읍 광령리 1003-14 ,주식회사 신나는제주여행,국내여행업,126.4397776,33.4543381,5011025300,애월읍,5011025321,애월읍 광령리
330,국내여행업,제주특별자치도 제주시 이도이동 1059-10 지하호,고프로VIP제주여행,국내여행업,126.5345444,33.495858,5011054000,이도2동,5011010400,이도이동
331,국내여행업,제주특별자치도 제주시 이도이동 1147-1 ,비지투어(주),국내여행업,126.5330934,33.5008625,5011054000,이도2동,5011010400,이도이동
332,국내여행업,제주특별자치도 제주시 용담삼동 1145-2 ,(주)제주와투어,국내여행업,126.4964322,33.5200049,5011058000,용담2동,5011011000,용담삼동
333,국내여행업,제주특별자치도 제주시 연동 292-93 도호빌딩 ,(주)빅토리투어,국내여행업,126.4947722,33.4890612,5011065000,연동,5011013700,연동
334,국내여행업,제주특별자치도 제주시 노형동 3805-3 ,(주)엔이에스티제주투어,국내여행업,126.4744402,33.4820869,5011066000,노형동,5011012200,노형동
335,국내여행업,제주특별자치도 제주시 연동 314-50 2층 ,제이에이치투어,국내여행업,126.4987402,33.485458,5011065000,연동,5011013700,연동
336,국내여행업,제주특별자치도 제주시 삼도이동 202-4 ,곰여행사,국내여행업,126.5224436,33.5094992,5011056000,삼도2동,5011010600,삼도이동
337,국내여행업,제주특별자치도 제주시 연동 253-25 3층 ,(주)대주관광여행사,국내여행업,126.4873124,33.4855354,5011065000,연동,5011013700,연동
338,국내여행업,제주특별자치도 제주시 노형동 905-3 323호,와이투어,국내여행업,126.48344,33.4879493,5011066000,노형동,5011012200,노형동
339,국내여행업,제주특별자치도 제주시 연동 290-2 연동학산맨션 204호,제이엘(주),국내여행업,126.4938623,33.4931432,5011065000,연동,5011013700,연동
340,국내여행업,제주특별자치도 제주시 연동 314-5 2층 ,(주)달콤한여행탐라,국내여행업,126.4976746,33.4854811,5011065000,연동,5011013700,연동
341,국내여행업,제주특별자치도 제주시 연동 314-50 ,제주여행콜,국내여행업,126.4987402,33.485458,5011065000,연동,5011013700,연동
342,국내여행업,제주특별자치도 제주시 연동 273-57 ,제주나비투어,국내여행업,126.4910569,33.4867621,5011065000,연동,5011013700,연동
343,국내여행업,제주특별자치도 서귀포시 대정읍 하모리 1534-1번지 ,월드비전여행사,국내여행업,126.2538341,33.2254813,5013025000,대정읍,5013025022,대정읍 하모리
344,국내여행업,제주특별자치도 제주시 도남동 51-10 ,제주닷투,국내여행업,126.5254191,33.4946047,5011054000,이도2동,5011012900,도남동
345,국내여행업,제주특별자치도 제주시 애월읍 387 ,(주)노블고속관광,국내여행업,126.3759292,33.4545909,5011025300,애월읍,5011025300,애월읍
346,국내여행업,제주특별자치도 제주시 연동 294-4 ,(주)웰컴제주,국내여행업,126.4938966,33.4855705,5011065000,연동,5011013700,연동
347,국내여행업,제주특별자치도 제주시 노형동 917-10 ,(주)리드클럽,국내여행업,126.4860964,33.4861697,5011066000,노형동,5011012200,노형동
348,국내여행업,제주특별자치도 제주시 삼도이동 967 ,더 아일랜더,국내여행업,126.5213719,33.5123985,5011056000,삼도2동,5011010600,삼도이동
349,국내여행업,제주특별자치도 제주시 연동 2424-7 연동광동주유소 ,(주)리무진코리아,국내여행업,126.4832815,33.4933387,5011065000,연동,5011013700,연동
350,국내여행업,제주특별자치도 제주시 용담이동 727-6 ,제주쿡,국내여행업,126.5004226,33.5033293,5011058000,용담2동,5011010900,용담이동
351,국내여행업,제주특별자치도 제주시 이호일동 296-1 ,탐라네바퀴 투어,국내여행업,126.4628359,33.4994878,5011068000,이호동,5011012500,이호일동
352,국내여행업,제주특별자치도 제주시 노형동 906-1 이화오피스텔 101호,메이저투어,국내여행업,126.4840987,33.4884352,5011066000,노형동,5011012200,노형동
353,국내여행업,제주특별자치도 제주시 노형동 939-4 영보아파트 2층 201호,(유)홍일여행사,국내여행업,126.4847312,33.4854768,5011066000,노형동,5011012200,노형동
354,국내여행업,제주특별자치도 제주시 일도일동 1049-2 지하 ,제주이레여행사,국내여행업,126.5300417,33.5114198,5011051000,일도1동,5011010100,일도일동
355,국내여행업,제주특별자치도 제주시 일도이동 46 신천지2차아파트 208동 202호,(주)제주관광택시협회,국내여행업,126.5459776,33.506487,5011052000,일도2동,5011010200,일도이동
356,국내여행업,제주특별자치도 제주시 조천읍 대흘리 850-1 ," 제주콩닷컴, 제주콩샵 ",국내여행업,126.6655124,33.5044153,5011025900,조천읍,5011025926,조천읍 대흘리
357,국내여행업,제주특별자치도 제주시 애월읍 고성리 1071-1 ,(주)아리랑관광,국내여행업,126.4145548,33.4443715,5011025300,애월읍,5011025329,애월읍 고성리
358,국내여행업,제주특별자치도 제주시 삼도이동 202-4 ,삼성여행사,국내여행업,126.5224436,33.5094992,5011056000,삼도2동,5011010600,삼도이동
359,국내여행업,제주특별자치도 제주시 삼도일동 521-7 ,제주허브닷컴,국내여행업,126.5190887,33.5011106,5011055000,삼도1동,5011010500,삼도일동
360,국내여행업,제주특별자치도 제주시 이도이동 105 ,(주)피앤피제주,국내여행업,126.5509993,33.490588,5011054000,이도2동,5011010400,이도이동
361,국내여행업,제주특별자치도 제주시 이도이동 1059-14 네오캠퍼스 ,JEJU BABA(제주바바),국내여행업,126.5350474,33.4960262,5011054000,이도2동,5011010400,이도이동
362,국내여행업,제주특별자치도 제주시 연동 320-1 영동빌딩 ,(주)소리바다여행사,국내여행업,126.5002099,33.4932022,5011065000,연동,5011013700,연동
